Time resolution is 1 ps
clock_counter=         96, di_re=01101110100100, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=         97, di_re=01101110001011, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=         98, di_re=01101101110001, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=         99, di_re=01101101010111, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=        100, di_re=01101100111101, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=        101, di_re=01101100100011, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=        102, di_re=01101100001000, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=        103, di_re=01101011101101, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=        104, di_re=01101011010010, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=        105, di_re=01101010110110, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=        106, di_re=01101010011010, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=        107, di_re=01101001111110, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=        108, di_re=01101001100010, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=        109, di_re=01101001000101, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=        110, di_re=01101000101000, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=        111, di_re=01101000001011, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=        112, di_re=01100111101110, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=        113, di_re=01100111010001, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=        114, di_re=01100110110011, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=        115, di_re=01100110010101, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=        116, di_re=01100101110110, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=        117, di_re=01100101011000, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=        118, di_re=01100100111001, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=        119, di_re=01100100011010, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=        120, di_re=01100011111011, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=        121, di_re=01100011011011, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=        122, di_re=01100010111011, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=        123, di_re=01100010011011, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=        124, di_re=01100001111011, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=        125, di_re=01100001011011, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=        126, di_re=01100000111010, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=        127, di_re=01100000011001, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=        128, di_re=01011111111000, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=        129, di_re=01011111010110, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=        130, di_re=01011110110101, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=        131, di_re=01011110010011, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=        132, di_re=01011101110001, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=        133, di_re=01011101001110, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=        134, di_re=01011100101100, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=        135, di_re=01011100001001, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=        136, di_re=01011011100110, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=        137, di_re=01011011000011, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=        138, di_re=01011010100000, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=        139, di_re=01011001111100, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=        140, di_re=01011001011000, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=        141, di_re=01011000110100, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=        142, di_re=01011000010000, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=        143, di_re=01010111101011, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=        144, di_re=01010111000110, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=        145, di_re=01010110100001, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=        146, di_re=01010101111100, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=        147, di_re=01010101010111, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=        148, di_re=01010100110001, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=        149, di_re=01010100001100, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=        150, di_re=01010011100110, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=        151, di_re=01010011000000, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=        152, di_re=01010010011001, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=        153, di_re=01010001110011, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=        154, di_re=01010001001100, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=        155, di_re=01010000100101, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=        156, di_re=01001111111110, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=        157, di_re=01001111010111, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
